frame_nr;dec_time;anim_fps;pc_latency;time_packets
0;18.60084;0.5382909;1.54686;1785.9
1;21.8201;10.8129;0.5688667;97.63002
2;21.6101;8.48263;0.6513596;116.3597
3;22.29068;10.17887;0.5178452;101.3999
4;21.88294;8.509304;0.7014275;116.8308
5;22.3396;10.05182;0.5626678;98.81448
6;22.41098;8.475019;0.8621216;117.0168
7;22.55269;10.12721;0.5669594;99.16592
8;17.55086;7.490016;0.6785393;117.3882
9;22.62276;9.924294;16.72506;115.6945
10;22.23774;9.984774;0.5846024;101.0656
11;22.04512;10.03537;0.5602837;103.9944
12;22.62764;8.658654;0.5726814;112.0758
13;19.77251;8.118867;0.6632805;116.7903
14;22.23302;10.64831;0.585556;101.0532
15;22.00325;8.510237;0.5111694;121.0976
16;22.39016;10.09178;0.5235672;94.95879
17;22.19373;8.56225;0.6608963;116.2753
18;22.10716;8.547907;17.09318;116.1308
19;17.81974;8.464005;0.5464554;99.77007
20;22.29068;10.18529;15.86771;116.3878
21;22.54663;10.00946;0.5369186;100.8472
22;22.45104;9.985106;0.6742477;107.8649
23;22.37057;8.585596;0.5269051;110.0955
24;18.36064;7.948123;16.18576;115.078
25;22.41673;11.00093;0.579834;100.6436
26;17.35579;3.246637;0.9174347;291.4958
27;23.31153;20.33227;0.8277893;1.369476
28;20.50884;12.01042;21.01564;47.54591
29;24.55653;10.4339;0.6847382;100.2808
30;22.1996;8.254814;0.5269051;98.35291
31;22.20407;8.586862;0.5865097;117.5151
32;22.47318;10.04773;21.49725;116.4703
33;22.53354;10.02774;0.5478859;100.0562
34;22.18082;8.473341;0.5483627;99.91884
35;21.72089;8.545573;0.5683899;117.4173
36;21.91152;10.08886;18.96;117.1875
37;21.64065;8.511307;0.5483627;98.28186
38;23.00518;10.07888;0.5340576;116.6954
39;23.45913;8.516907;0.535965;100.1968
40;22.23868;8.649904;0.6475449;116.7727
41;21.56987;9.867929;16.69884;115.8724
42;22.40786;10.10276;0.6494522;100.8673
43;22.64205;8.593759;0.5407333;103.9057
44;19.31008;8.075847;0.535965;112.5193
45;22.34579;10.73437;15.33031;116.1318
46;21.82851;8.54613;0.5283356;100.5688
47;22.28216;10.0207;22.72987;122.3688
48;21.68002;8.571559;0.6723404;94.55395
49;22.41313;9.945519;16.8705;115.4718
50;21.79946;10.02386;0.5455017;100.3456
51;21.46346;8.527642;0.5512238;102.1376
52;21.40038;8.533542;0.5273819;116.0002
53;20.7754;10.14774;0.5226135;115.2916
54;21.62458;8.493657;0.5683899;99.97368
55;24.47942;3.168985;0.5712509;116.8051
56;22.37105;19.64361;0.5216599;100.0357
57;21.77728;15.07333;1.038551;244.4334
58;18.28444;9.232535;0.6256104;0.9717941
59;20.71671;9.232048;0.6399155;90.30724
60;21.31989;9.932895;0.9355545;98.11878
61;21.61611;8.646053;0.5321503;115.3831
62;20.93175;8.433542;0.5455017;100.6155
63;21.70021;8.66291;0.5283356;116.0154
64;21.53399;9.92697;16.35647;116.8022
65;21.98319;10.17689;16.71028;116.4331
66;20.9138;8.43456;0.8296967;101.2011
67;21.95235;10.20095;0.6217957;99.21169
68;22.23868;8.48184;0.5340576;117.2237
69;21.43757;8.59059;0.5607605;99.32423
70;23.20218;10.0943;0.6418228;116.4923
71;21.87906;8.543067;16.67976;116.6658
72;21.5983;9.989101;0.6361008;101.3193
73;21.22709;8.517806;16.41178;115.1066
74;21.54815;10.01869;0.831604;100.8368
75;19.70711;8.224255;12.90131;115.4356
76;21.6344;10.5699;0.5674362;101.5749
77;21.47621;8.503232;0.629425;115.4308
78;22.10833;10.21685;0.6341934;100.9855
79;20.74211;8.322692;0.6465912;121.1967
80;18.49373;8.178773;0.5512238;95.95108
81;18.43391;9.203606;0.5397797;115.3727
82;18.81157;11.09405;1.020432;117.6558
83;21.87906;9.070491;0.6113052;98.55652
84;21.68226;2.633581;0.544548;100.6165
85;22.77829;19.77028;0.7324219;116.91
86;23.12644;19.85563;6.73008;114.3246
87;18.02668;11.98797;0.8487701;288.5351
88;21.10363;9.900446;0.6370544;0.9727478
89;20.10769;10.00607;25.29716;50.96054
90;22.4026;10.13411;0.8659363;95.29114
91;18.57366;8.049376;0.576973;112.7739
92;21.92894;9.146127;0.6532669;100.5297
93;22.05346;10.07268;0.9460449;109.8919
94;21.68182;8.510201;0.6408691;105.9484
95;21.85125;10.09926;0.6017685;117.2934
96;22.0646;8.53375;0.658989;99.22981
97;20.81788;9.929039;1.107216;117.8999
98;20.44765;8.484998;0.9279251;101.1877
99;21.59297;10.32347;0.6637573;115.222
