frame_nr;dec_time;anim_fps;pc_latency;time_packets
0;41.27277;0.5972412;11.89184;1630.261
1;178.3141;55.80946;0.1525879;22.45665
2;45.1875;29.59863;0.07867813;33.61034
3;43.99035;23.04917;1.508713;41.23211
4;46.73319;31.80732;8.620739;31.23283
5;43.89368;30.58054;0.06103516;19.37628
6;43.94518;30.52934;0.07534027;32.1312
7;42.94099;29.71817;0.06961823;32.82404
8;43.19749;29.83741;0.09965897;33.17451
9;66.46442;38.35599;0.05722046;33.23269
10;44.36351;30.77078;0.1506805;34.53779
11;45.01968;30.46149;0.1130104;39.12687
12;44.03376;29.95974;5.121231;23.82278
13;45.17485;29.8442;0.05435944;33.46109
14;43.62886;30.39087;4.814625;33.11205
15;46.66768;29.98545;0.0538826;33.6194
16;43.06267;30.05334;3.494263;32.92561
17;45.04773;29.57192;0.04959106;33.40626
18;43.74443;30.49959;0.07200241;33.31995
19;43.48051;29.79544;0.0834465;33.36668
20;44.44343;29.78951;0.05292892;32.99999
21;44.97334;30.53912;0.0500679;33.31184
22;44.4246;29.92853;0.04720688;33.11014
23;44.20268;30.08136;4.45652;33.60891
24;46.66456;30.15446;0.05102158;33.09727
25;44.96852;30.19223;3.762722;33.34332
26;37.50674;23.94036;0.04720688;33.1521
27;47.82122;30.58946;10.95104;43.04838
28;43.97651;29.76879;0.06628036;27.48442
29;42.87339;30.02838;0.1301765;31.76689
30;45.79435;30.40276;0.05292892;32.61232
31;42.73274;29.35913;0.06341934;34.31463
32;46.00632;29.99745;0.07486343;32.39965
33;44.72016;30.03698;4.724026;39.93225
34;44.76407;30.7185;0.1897812;28.01752
35;43.67884;29.80984;1.019478;33.30326
36;45.66869;30.19223;0.1893044;32.06539
37;42.2634;29.88503;0.05102158;33.96845
38;42.77632;29.69755;0.05245209;31.74067
39;46.1024;30.55558;0.05817413;33.85305
40;44.29885;30.01119;0.07772446;34.50108
41;42.30005;30.10943;0.0500679;32.37247
42;44.46604;30.15836;0.04911423;32.06539
43;44.28669;29.59446;0.0500679;34.3051
44;42.35558;29.91103;0.05102158;33.58984
45;47.8933;30.50847;0.04482269;32.44972
46;45.00809;30.08913;0.06389618;35.50005
